goodreads_id,isbn13,isbn10,title,author,additional_authors,description,page_count,published_date,publisher,cover_url,cover_filename,genres,series_name,volume_number,binding,average_rating,user_rating,user_review,user_status,user_shelves,date_added,date_read,audience,intensity,moods,classification_confidence,mood_darkness,pacing_speed,complexity_score,emotional_intensity,plot_archetype,prose_style,setting_atmosphere,vibe_confidence
,9780618611690,,"The Polar Express","Chris Van Allsburg",,"The Polar Express is a treasured holiday tradition. This lavish gift set includes a CD audio recording read by Liam Neeson, a keepsake ""All Aboard"" ornament, and a note from author Chris Van Allsburg.Awarded the prestigious Caldecott Medal in 1986, The Polar Express has sold more than 7 million copies, become a classic holiday movie, and been translated into stage productions that take place across the United States during the holiday season.",32,1985-10-28,"Houghton Mifflin",https://covers.openlibrary.org/b/isbn/9780618611690-L.jpg,9780618611690.jpg,"San Nicolás, nochebuena, Christmas Eve, Santa Claus, Navidad, Spanish language books, Juvenile fiction, Fiction, Spanish language materials, Ficción juvenil, Caldecott Medal, Bilingual, Spanish language -- Readers, North Pole, Juvenile literature, Christmas, Christmas stories, Voyages and travels, Passenger trains, Belief and doubt, Children, Blind, Books and reading, Nol͡, Pr̈e Nol͡, Caldecott Medal books, Contes, Romans, nouvelles, etc. pour la jeunesse, Spiders, Mummies, Werewolves, Horror stories, Vampires, Horror fiction, Zombies, Children's fiction, North pole, fiction, Santa claus, fiction, Christmas, fiction, Railroads, fiction, collectionID:caldecott80, Spanish language, conversation and phrase books, award:Caldecott_award, lexile:520, lexile_range:501-600, age:min:2, age:max:7, grade:min:Preschool, grade:max:3",,,Hardcover,4.3,,,want_to_read,,,,children,light,"adventurous, cozy, inspirational",1,1.5,3.5,1.5,4.5,heros_journey,lyrical,arctic,1
,9780749956561,,Acheron,"Sherrilyn Kenyon",,"Eleven thousand years ago a god was born. Cursed into the body of a human, Acheron endured a lifetime of hatred. His human death unleashed an unspeakable horror that almost destroyed the earth. Brought back against his will, he became the sole defender of mankind.Only it was never that simple…For centuries, he has fought for our survival and hidden a past he never wants revealed.Now his survival, and ours, hinges on the very woman who threatens him. Old enemies reawaken and unite to kill them both.War has never been deadlier… or more fun.",728,2008,"St. Martin's Press",https://covers.openlibrary.org/b/isbn/9780749956561-L.jpg,9780749956561.jpg,"Gods, Fiction, Fiction, romance, fantasy, nyt:hardcover-fiction=2008-08-24, New York Times bestseller, Large type books, Enemies (Persons), Imaginary wars and battles, Fiction, romance, suspense, Fiction, fantasy, general, Fiction, religious, Comics & graphic novels, romance, Comics & graphic novels, fantasy, general",Dark-Hunter,14,Hardcover,4.57,,,want_to_read,,,,adult,intense,"romantic, adventurous, suspenseful",0.9,8,9,4,9,enemies_to_lovers,cinematic,other,0.8
,9788416358939,,"Lady Chatterley's Lover","D.H. Lawrence",,"Lawrence's frank portrayal of an extramarital affair and the explicit sexual explorations of it's central characters caused this controversial book, now considered a masterpiece, to be banned as pornography until 1960.",376,2028-10-28,"Modern Library",https://covers.openlibrary.org/b/isbn/9788416358939-L.jpg,9788416358939.jpg,"Sexual behavior, Married women, Adultery, Nobility, Fiction, Classic Literature, Gamekeepers, England, Man-woman relationships, fiction, Aristocracy (Social class), Runaway wives, British and irish fiction (fictional works by one author), Married people, fiction, England, fiction, Fiction, erotica, Great britain, fiction, Large type books, Wives, Fiction, erotica, general, Family, English literature, Mujeres casadas, Novela, Adulterio, Libros audiograbados, Ficción, Guardabosques, Libros en letra grande, Novela erótica, Married women in fiction, England in fiction, Gamekeepers in fiction, Adultery in fiction, Social life and customs, Erotic stories, Romanies, Young women, Love stories, Ying yu, Dui zhao du wu, Han yu, Zhang pian xiao shuo, Femmes mariées, Romans, nouvelles, Textual Criticism, English literature, history and criticism, 20th century, Critique textuelle, Lady Chatterley's lover (Lawrence, D.H.), Man-woman relationships, Triangles (Interpersonal relations), English fiction, Relations entre hommes et femmes, Triangle (Relations humaines), Roman anglais, German fiction, Translations from English, Translations into German, Literature, Littérature",,,Hardcover,3.51,,,want_to_read,,,,adult,intense,"romantic, thought_provoking, tense",1,7,3,7,8,forbidden_love,lyrical,victorian,1
,9780545688161,,"The Elite","Kiera Cass",,"The Selection began with thirty-five girls. Now with the group narrowed down to the six Elite, the competition to win Prince Maxon's heart is fiercer than ever—and America is still struggling to decide where her heart truly lies. Is it with Maxon, who could make her life a fairy tale? Or with her first love, Aspen?America is desperate for more time. But the rest of the Elite know exactly what they want—and America's chance to choose is about to slip away.",336,2012,HarperTeen,https://covers.openlibrary.org/b/isbn/9780545688161-L.jpg,9780545688161.jpg,"Contests, Love, Princes, Revolutionaries, FictioPOP/ROCK n., Social classes, Marriage, Fiction, Children's fiction, Marriage, fiction, Contests, fiction, Princes, fiction, Love, fiction, Man-woman relationships, Juvenile fiction, Romance fiction, Revolucionarios, Novela, Mariage, Romans, nouvelles, Concours et compétitions, Classes sociales, Révolutionnaires, Matrimonio, Competencias, Clases sociales, Príncipes, Novela romántica","The Selection",2,Hardcover,4.02,,,want_to_read,,,,young_adult,moderate,"romantic, tense, thought_provoking",1,3,7,2,8,chosen_one,conversational,dystopian,1
,9781442426641,,Silence,"Becca Fitzpatrick",,"Nora Grey can't remember the past five months of her life. After the initial shock of waking up in a cemetery and being told that she has been missing for weeks - with no one knowing where she was or who she was with - she tried to get her life back on track. Go to school, hang out with her best friend, Vee, and dodge mom's creepy new boyfriend.But there is this voice in the back of her head, an idea that she can almost reach out and touch. Visions of angel wings and unearthly creatures that have nothing to do with the life she knows.And this unshakable feeling that a part of her is missing.Then Nora crosses paths with a sexy stranger, whom she feels a mesmerizing connection to. He seems to hold all the answers...and her heart. Every minute she spends with him grows more and more intense until she realizes she could be falling in love. Again.",448,2011,"Simon & Schuster Books for Young Readers",https://covers.openlibrary.org/b/isbn/9781442426641-L.jpg,9781442426641.jpg,"Love, Paranormal fiction, Juvenile fiction, Fiction, Supernatural, Dating (Social customs), Angels, Good and evil, Fantasy fiction, Love stories, Romance fiction, nyt:series-books=2011-10-23, New York Times bestseller, Children's fiction, Supernatural, fiction, Love, fiction","Hush, Hush",3,Hardcover,4.12,,,want_to_read,,,,young_adult,moderate,"romantic, suspenseful, mysterious",0.9,6,7,3,8,unreliable_narrator,conversational,contemporary,0.9
,9780553375404,,Ishmael,"Daniel Quinn",,"An Adventure of the Mind and SpiritThe narrator of this extraordinary tale is a man in search for truth. He answers an ad in a local newspaper from a teacher looking for serious pupils, only to find himself alone in an abandoned office with a full-grown gorilla who is nibbling delicately on a slender branch. ""You are the teacher?"" he asks incredulously. ""I am the teacher,"" the gorilla replies. Ishmael is a creature of immense wisdom and he has a story to tell, one that no other human being has ever heard. It is a story that extends backward and forward over the lifespan of the earth from the birth of time to a future there is still time save. Like all great teachers, Ishmael refuses to make the lesson easy; he demands the final illumination to come from within ourselves. Is it man's destiny to rule the world? Or is it a higher destiny possible for him-- one more wonderful than he has ever imagined?",338,1992-10-28,Bantam,https://covers.openlibrary.org/b/isbn/9780553375404-L.jpg,9780553375404.jpg,"Fiction, Gorilla, Human ecology, Fictional Works Publication Type, FICTION / Magical Realism, Philosophy, Telepathy, Gorillas, FICTION / Religious, Didactic fiction, FICTION / Literary, Fiction, visionary & metaphysical, Fiction, action & adventure",Ishmael,1,"Kindle Edition",3.98,,,want_to_read,,,,adult,moderate,"adventurous, thought_provoking, inspirational",1,6,2,9,3,heros_journey,conversational,contemporary,0.9
,9780316769563,,"Nine Stories","J.D. Salinger",,"Nine Stories (1953) is a collection of short stories by American fiction writer J. D. Salinger published in April 1953. It includes two of his most famous short stories, ""A Perfect Day for Bananafish"" and ""For Esmé – with Love and Squalor"". (Nine Stories is the U.S. title; the book is published in many other countries as For Esmé - with Love and Squalor, and Other Stories.)The stories are:""A Perfect Day for Bananafish""""Uncle Wiggily in Connecticut""""Just Before the War with the Eskimos""""The Laughing Man""""Down at the Dinghy""""For Esmé – with Love and Squalor""""Pretty Mouth and Green My Eyes""""De Daumier-Smith's Blue Period""""Teddy""",198,1953-06-04,"Little, Brown and Company",https://covers.openlibrary.org/b/isbn/9780316769563-L.jpg,9780316769563.jpg,"Fiction, Water Microbiology, Social life and customs, Manners and customs, Laboratory manuals, Short stories, catcher in the rye, psychology, Ficción, Vida social y costumbres, American fiction (fictional works by one author), Fiction, short stories (single author), English Short stories, Holden Caulfield (Fictitious character), Runaway teenagers, Art, American literature",,,Paperback,4.18,,,want_to_read,,,,adult,moderate,"melancholic, thought_provoking, tense",0.9,7,3,6,7,other,conversational,contemporary,0.9
,9781442421769,,"The Unbecoming of Mara Dyer","Michelle Hodkin",,"Mara Dyer believes life can't get any stranger than waking up in a hospital with no memory of how she got there.

It can.

She believes there must be more to the accident she can't remember that killed her friends and left her strangely unharmed.

There is.

She doesn't believe that after everything she's been through, she can fall in love.

She's wrong.",456,2011,"Simon & Schuster Books for Young Readers",https://covers.openlibrary.org/b/isbn/9781442421769-L.jpg,9781442421769.jpg,"Post-traumatic stress disorder, Murder, Supernatural, High schools, Schools, Family life, Fiction, Families, Paranormal fiction, Juvenile fiction, Homicide, Children's fiction, Supernatural, fiction, Murder, fiction, Schools, fiction, Family life, fiction, Florida, fiction","Mara Dyer",1,"Kindle Edition",4.05,,,want_to_read,,,,young_adult,intense,"suspenseful, mysterious, romantic",0.9,8.5,7,4,8,unreliable_narrator,cinematic,contemporary,0.85
,9788431668310,,"The Return of the King","J.R.R. Tolkien",,"In the third volume of The Lord of the Rings trilogy the good and evil forces join battle, and we see that the triumph of good is not absolute. The Third Age of Middle-earth ends, and the age of the dominion of Men begins.",385,2055-10-20,"Ballantine Books",https://covers.openlibrary.org/b/isbn/9788431668310-L.jpg,9788431668310.jpg,"Elves, Hobbits, The Lord of the Rings, hope, fear, magic, Fiction, Fantasy, English Fantasy fiction, Juvenile fiction, Fantastic fiction, Textual Criticism, Middle Earth (Imaginary place), Chinese language materials, Adventure, Fantasy fiction, Frodo Baggins (Fictional character), Frodo Baggins (Fictitious character), Fiction, fantasy, epic, Middle earth (imaginary place), fiction, Baggins, frodo (fictitious character), fiction, British and irish fiction (fictional works by one author), Gandalf (fictitious character), fiction, English literature, Translations into French, Children's fiction, Quests (Expeditions), Wizards, Large type books, Spanish language edition, Roman, Français (langue), Lectures et morceaux choisis, Bolsón, Frodo (Personaje literario), Novela, Tierra Media (Lugar imaginario), Historia de aventuras, Novela fantástica, Literatura inglesa, Novela inglesa, Fiction, media tie-in, Fiction, fantasy, general, Śródziemie (miejsce fikcyjne), Powieści","The Lord of the Rings",3,"Mass Market Paperback",4.53,,,want_to_read,,,,adult,dark,"adventurous, tense, melancholic",0.9,7.5,6,8,9,heros_journey,lyrical,medieval,0.9
,9780385755900,,"All the Bright Places","Jennifer Niven",,"The Fault in Our Stars meets Eleanor and Park in this exhilarating and heart-wrenching love story about a girl who learns to live from a boy who intends to die.Soon to be a major motion picture starring Elle Fanning! Theodore Finch is fascinated by death, and he constantly thinks of ways he might kill himself. But each time, something good, no matter how small, stops him. Violet Markey lives for the future, counting the days until graduation, when she can escape her Indiana town and her aching grief in the wake of her sister’s recent death. When Finch and Violet meet on the ledge of the bell tower at school, it’s unclear who saves whom. And when they pair up on a project to discover the “natural wonders” of their state, both Finch and Violet make more important discoveries: It’s only with Violet that Finch can be himself—a weird, funny, live-out-loud guy who’s not such a freak after all. And it’s only with Finch that Violet can forget to count away the days and start living them. But as Violet’s world grows, Finch’s begins to shrink. This is an intense, gripping novel perfect for fans of Jay Asher, Rainbow Rowell, John Green, Gayle Forman, and Jenny Downham from a talented new voice in YA, Jennifer Niven.",378,2014,Knopf,https://covers.openlibrary.org/b/isbn/9780385755900-L.jpg,9780385755900.jpg,"Suicide, Friendship, Emotional problems, Fiction, Children's fiction, Friendship, fiction, Suicide, fiction, Emotions, fiction, Indiana, fiction, nyt:young-adult-hardcover=2015-08-30, New York Times bestseller, New York Times reviewed, Juvenile fiction, Teenagers, Suicidal behavior, Sisters, Death, Manic-depressive illness in adolescence, Emotional problems of teenagers, Traffic accident victims, Family relationships, YOUNG ADULT FICTION, Romance, Social Themes, Death & Dying, Depression, Amerikanisches Englisch, Bullying, nyt:young-adult-paperback-monthly=2020-03-08, Young adult fiction, social themes, death, grief, bereavement, Young adult fiction, romance, general, Young adult fiction, social themes, depression",,,Hardcover,4.15,,,want_to_read,,,,young_adult,intense,"melancholic, inspirational, romantic",1,9,6,6,10,coming_of_age,cinematic,contemporary,1
,9780679462712,,"Into Thin Air: A Personal Account of the Mount Everest Disaster","Jon Krakauer",,"A bank of clouds was assembling on the not-so-distant horizon, but journalist-mountaineer Jon Krakauer, standing on the summit of Mt. Everest, saw nothing that ""suggested that a murderous storm was bearing down."" He was wrong. The storm, which claimed five lives and left countless more--including Krakauer's--in guilt-ridden disarray, would also provide the impetus for Into Thin Air, Krakauer's epic account of the May 1996 disaster.",368,1997-01-05,"Anchor Books",https://covers.openlibrary.org/b/isbn/9780679462712-L.jpg,9780679462712.jpg,"History, Adventure Consultants. Guided Expedition (1996 : Mount Everest), Adventure Consultants Guided Expedition (1996 : Mount Everest), Mountain Madness (Firm) Everest Expedition (1996), Mountaineering expeditions, Open Library Staff Picks, Nature, Mountaineering, Mountaineering accidents, Mountain Madness (Firm), Nonfiction, Biography & Autobiography, Mountain Madness (Firm). Everest Expedition (1996), Adventure Consultants, Mount Everest Expedition (1996), Accidents and injuries, Adventure Consultants. Guided Expedition, Mount Everest Expedition. fast (OCoLC)fst01405877, Accidents, Mountains, Mountain Madness (Firm). Everest Expedition, Expeditions, Reading Level-Grade 7, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Everest, mount (china and nepal), Mount Everest Expedition (1976) fast (OCoLC)fst01405877, Large type books, nyt:expeditions-disasters-and-adventures=2015-08-09, New York Times bestseller, New York Times reviewed, Mount Everest Expedition (1996) http://id.loc.gov/authorities/names/no2005116127, Krakauer, jon, Mountaineering accidents--everest, mount (china and nepal), Mountaineering expeditions--everest, mount (china and nepal), Gv199.44.e85 k725 1998, 796.52/2/092, Besteigung, Alpinismus, Erlebnisbericht, excursionismo, supervivencia, montañismo, Accidents i lesions, Descripcions i viatges, Alpinisme, [récit de voyage], Récit de voyage, Bergsteigen, Adventure Consultants. Guided Expedition. (1996 : Mount Everest), Mountain Madness (Firm). Everest Expedition. (1996), MacGillivray Freeman IMAX/IWERKS Expedition (1996 : Mount Everest), Alpinism, Recreation",,,Paperback,4.18,,,want_to_read,,,,adult,intense,"adventurous, tense, thought_provoking",1,8.5,8,6.5,9,other,journalistic,wilderness,1
