isbn13,title,author,description,page_count,published_date,publisher,cover_url,cover_filename,genres,series_name,volume_number,audience,intensity,moods,classification_confidence,mood_darkness,pacing_speed,complexity_score,emotional_intensity,plot_archetype,prose_style,setting_atmosphere,vibe_confidence,is_nyt_bestseller,nyt_list_category,nyt_weeks_on_list,nyt_peak_rank
9780399590528,Educated,"Tara Westover","The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university.",,2022,"Random House",https://covers.openlibrary.org/b/isbn/9780399590528-L.jpg,9780399590528.jpg,Fiction,,,adult,dark,"melancholic, inspirational, thought_provoking",0.95,8,4,7,9,coming_of_age,conversational,wilderness,0.9,1,"Paperback Nonfiction",108,7
9781984881748,"A City On Mars","Kelly Weinersmith and Zach Weinersmith","The authors of “Soonish” examine the pros and cons of space settlement.",448,2025-07-29,Penguin,https://covers.openlibrary.org/b/id/14831890-L.jpg,9781984881748.jpg,Fiction,,,adult,moderate,"thought_provoking, inspirational",0.9,4,3,6,2,other,conversational,space_station,0.8,1,"Paperback Nonfiction",6,15
9780593581964,"Sally'S Baking 101","Sally McKenney with Beth Walk",,288,2025,"Clarkson Potter",https://covers.openlibrary.org/b/id/15126853-L.jpg,9780593581964.jpg,,,,,,,,,,,,,,,,1,"Advice, How-To & Miscellaneous",1,2
9780593736586,Unbreakable,"Vonda Wright",,400,2025,Rodale,https://covers.openlibrary.org/b/isbn/9780593736586-L.jpg,9780593736586.jpg,,,,,,,,,,,,,,,,1,"Advice, How-To & Miscellaneous",2,7
9781454956785,"Let'S Party","Dan Pelosi",,288,2025,"Union Square & Co",https://covers.openlibrary.org/b/isbn/9781454956785-L.jpg,9781454956785.jpg,,,,,,,,,,,,,,,,1,"Advice, How-To & Miscellaneous",1,8
9781426224126,"The Blue Zones Kitchen: One Pot Meals","Dan Buettner",,256,2025,"National Geographic",https://covers.openlibrary.org/b/isbn/9781426224126-L.jpg,9781426224126.jpg,,,,,,,,,,,,,,,,1,"Advice, How-To & Miscellaneous",1,9
9780593904749,"Impossible Creatures","Katherine Rundell","A young boy is enlisted to save a place where magical creatures reside. (Ages 10 and up)",354,2023,Knopf,https://covers.openlibrary.org/b/isbn/9781408897409-L.jpg,9780593904749.jpg,,,,middle_grade,moderate,"adventurous, mysterious, inspirational",0.95,3,6,3,5,chosen_one,conversational,other,0.8,1,"Children’s Middle Grade Hardcover",52,5
9781546132431,"The Last Resort","Erin Entrada Kelly","After the death of her grandfather, Lila communicates with his ghost and he tells her he was murdered. (Ages 8 to 12)",240,2025,Scholastic,https://covers.openlibrary.org/b/id/15124787-L.jpg,9781546132431.jpg,,,,middle_grade,moderate,"melancholic, mysterious, suspenseful",0.95,5.5,7,2.5,8,whodunit,conversational,contemporary,0.65,1,"Children’s Middle Grade Hardcover",1,6
9781665982283,"The School For Thieves","Peter Burns","A young pickpocket named Tom is invited to an elite school for thieves. (Ages 10 and up)",,,Aladdin,https://covers.openlibrary.org/b/isbn/9781665982283-L.jpg,,,,,middle_grade,moderate,"adventurous, mysterious, suspenseful",0.9,3.5,7,3,4,fish_out_of_water,conversational,academic,0.7,1,"Children’s Middle Grade Hardcover",2,9
9781419770531,"Spooky Lakes","Geo Rutherford","Geo takes you to 25 mysterious lakes around the world. (Ages 8 to 11)",,2024,Abrams,https://covers.openlibrary.org/b/id/15126644-L.jpg,9781419770531.jpg,,,,middle_grade,light,"mysterious, adventurous",1,3,6,2,2,other,conversational,wilderness,0.9,1,"Children’s Middle Grade Hardcover",7,10
9781368108249,"A Twisted Tale","Liz Braswell","A twist on Disney's greatest tales. (Ages 12 and up)",416,2025,Disney-Hyperion,https://covers.openlibrary.org/b/isbn/9781368108249-L.jpg,9781368108249.jpg,,,,young_adult,moderate,"mysterious, adventurous, thought_provoking",0.9,6,7,4,6,heros_journey,conversational,other,0.7,1,"Children’s & Young Adult Series",26,10
9781250328533,"Sisters In The Wind","Angeline Boulley","Lucy, a foster teen with secrets, is determined to claim her heritage on her own terms. (Ages 14 to 18)",352,2025,Holt,https://covers.openlibrary.org/b/isbn/9781250328533-L.jpg,9781250328533.jpg,,,,young_adult,moderate,"mysterious, thought_provoking",0.95,6,6,5,7,coming_of_age,conversational,contemporary,0.75,1,"Young Adult Hardcover",1,7
9781464251795,"Kiss The Villain","Rina Kent","In the same world where the Legacy of Gods series is set, a dark game is pursued by a law student and a criminal who is his new law professor.",560,2025,Bloom,https://covers.openlibrary.org/b/isbn/9781464251795-L.jpg,9781464251795.jpg,Fiction,"Legacy of Gods series",,adult,dark,"romantic, suspenseful, tense",0.9,8.5,7,5,9,enemies_to_lovers,conversational,contemporary,0.85,1,"Combined Print & E-Book Fiction",1,11
9781496752437,"Pucking Strong","Emily Rath","The fourth book in the Jacksonville Rays series. A fake marriage between a hockey player and a physical therapist could become a public relations nightmare.",400,2025,Kensington,https://covers.openlibrary.org/b/id/15117439-L.jpg,9781496752437.jpg,Fiction,"Jacksonville Rays series",4,adult,moderate,"romantic, humorous",0.9,2,6,2,7,enemies_to_lovers,conversational,contemporary,0.8,1,"Combined Print & E-Book Fiction",1,13
9780316572859,"The Idaho Four","James Patterson and Vicky Ward","Investigations into the murders of four University of Idaho students on Nov. 13, 2022.",400,2025,"Little, Brown",https://covers.openlibrary.org/b/isbn/9780316572859-L.jpg,9780316572859.jpg,Fiction,,,adult,intense,"suspenseful, mysterious, tense",0.9,8.5,9.5,3.5,8.5,whodunit,journalistic,small_town,0.95,1,"Combined Print & E-Book Nonfiction",7,4
9781982148041,"The Room Where It Happened","John Bolton","The former national security advisor gives his account of the 17 months he spent working for President Trump during his first administration.",,2024,"Simon & Schuster",https://covers.openlibrary.org/b/isbn/9781982148041-L.jpg,9781982148041.jpg,Fiction,,,adult,intense,"thought_provoking, tense, suspenseful",0.9,7,7,8,4,other,journalistic,contemporary,0.9,1,"Combined Print & E-Book Nonfiction",7,9
9780778306269,"On Wings Of Blood","Briar Boleyn","A dragon rider named Medra Pendragon is captured by vampires and placed inside the dangerous Bloodwing Academy.",592,"Aug 19, 2025",MIRA,https://covers.openlibrary.org/b/id/15134851-L.jpg,9780778306269.jpg,Fiction,,,young_adult,dark,"tense, suspenseful, adventurous",0.9,7.5,7,4,7,fish_out_of_water,cinematic,academic,0.8,1,"Hardcover Fiction",2,9
9781668089330,"Never Flinch","Stephen King","Holly Gibney does double duty by helping head off acts of retribution and protecting a women’s rights activist.",439,2025,Scribner,https://covers.openlibrary.org/b/id/14825714-L.jpg,9781668089330.jpg,Fiction,,,adult,dark,"suspenseful, tense, mysterious",0.9,8.5,7.5,5.5,8.5,whodunit,conversational,contemporary,0.8,1,"Hardcover Fiction",13,10
9780593441299,"Great Big Beautiful Life","Emily Henry","A writer looking for her big break competes against a Pulitzer winner to tell the story of an octogenarian with a storied past.",418,"April 22, 2025",Berkley,https://covers.openlibrary.org/b/id/14861424-L.jpg,9780593441299.jpg,Fiction,,,adult,moderate,"inspirational, thought_provoking",0.9,3,5,6,6,coming_of_age,conversational,contemporary,0.8,1,"Hardcover Fiction",17,11
9781250887979,"Forget Me Not","Stacy Willingham","An investigative journalist returns to South Carolina, where she comes across a diary that appears to have details related to unsolved crimes.",340,2025,Minotaur,https://covers.openlibrary.org/b/id/15117556-L.jpg,9781250887979.jpg,Fiction,,,adult,dark,"mysterious, suspenseful",0.9,7.5,8.5,4.5,7.5,whodunit,journalistic,contemporary,0.85,1,"Hardcover Fiction",1,12
9781250899576,"The Wedding People","Alison Espach","A woman who is down on her luck forms an unexpected bond with the bride at a wedding in Rhode Island.",367,"July 30, 2024",Holt,https://covers.openlibrary.org/b/id/14647406-L.jpg,9781250899576.jpg,Fiction,,,adult,moderate,"melancholic, thought_provoking, romantic",0.85,4,4,5,7,found_family,conversational,contemporary,0.75,1,"Hardcover Fiction",39,13
9780385550369,James,"Percival Everett","A reimagining of “Adventures of Huckleberry Finn” shines a different light on Mark Twain's classic, revealing new facets of the character of Jim.",318,2024,Doubleday,https://covers.openlibrary.org/b/id/14612225-L.jpg,9780385550369.jpg,Fiction,,,adult,dark,"thought_provoking, melancholic",0.8,8,4,7,8,coming_of_age,conversational,small_town,0.75,1,"Hardcover Fiction",52,15
9780525561729,"Mark Twain","Ron Chernow","The Pulitzer Prize-winning biographer portrays the life and career of the literary celebrity and political pundit.",1220,2025,"Penguin Press",https://covers.openlibrary.org/b/id/15035042-L.jpg,9780525561729.jpg,Fiction,,,adult,moderate,"thought_provoking, inspirational",0.9,6,3,8,5,other,journalistic,victorian,0.9,1,"Hardcover Nonfiction",13,10
9780593735817,"The Tears Of Things","Richard Rohr","The author of “The Universal Christ” explicates the writings of Jewish prophets and reflects upon modern life.",208,2025,Convergent,https://covers.openlibrary.org/b/id/15088923-L.jpg,9780593735817.jpg,Fiction,,,adult,moderate,"thought_provoking, inspirational",0.9,6,2,7,4,other,conversational,other,0.85,1,"Hardcover Nonfiction",5,11
9780593803288,"Coming Up Short","Robert B. Reich","An economist who served in three presidential administrations gives his perspective on his generation’s impact on democracy, society and the economy.",,,Knopf,https://covers.openlibrary.org/b/isbn/9780593803288-L.jpg,,Fiction,,,adult,moderate,"thought_provoking, melancholic",0.9,4,3,8,2,other,academic,contemporary,0.8,1,"Hardcover Nonfiction",4,12
9780593422953,"The Heaven & Earth Grocery Store","James McBride","Secrets held by the residents of a dilapidated neighborhood come to life when a skeleton is found at the bottom of a well.",561,2023,Riverhead,https://covers.openlibrary.org/b/isbn/9780593743775-L.jpg,9780593422953.jpg,Fiction,,,adult,dark,"mysterious, tense, thought_provoking",0.9,7.5,6,6.5,7,ensemble,conversational,small_town,0.8,1,"Paperback Trade Fiction",3,14
9780593638910,"One Golden Summer","Carley Fortune","A photographer returns to a place where she spent a summer as a teenager and runs into the guy she had a crush on back then.",401,"May 6, 2025",Berkley,https://covers.openlibrary.org/b/id/15094942-L.jpg,9780593638910.jpg,Fiction,,,adult,light,"romantic, melancholic",0.9,1,4,2,7,other,conversational,contemporary,0.8,1,"Paperback Trade Fiction",17,15
9780812984965,"Just Mercy","Bryan Stevenson","A civil rights lawyer and MacArthur grant recipient’s memoir of his decades of work to free innocent people condemned to death.",349,2015,"One World",https://covers.openlibrary.org/b/id/11445591-L.jpg,9780812984965.jpg,Fiction,,,adult,intense,"inspirational, melancholic, thought_provoking",1,9,6,7,9,redemption_arc,conversational,contemporary,1,1,"Paperback Nonfiction",325,10
9781400052189,"The Immortal Life Of Henrietta Lacks","Rebecca Skloot","The story of a woman whose cancer cells were cultured without her permission in 1951.",381,2011,"Crown Publishing",https://covers.openlibrary.org/b/id/10593122-L.jpg,9781400052189.jpg,Fiction,,,adult,intense,"thought_provoking, melancholic, tense",0.95,8,6,7,9,other,journalistic,contemporary,0.9,1,"Paperback Nonfiction",236,13
9780764243783,"I Just Wish I Had A Bigger Kitchen","Kate Strickler",,192,2025,"Bethany House",https://covers.openlibrary.org/b/id/15115685-L.jpg,9780764243783.jpg,,,,,,,,,,,,,,,,1,"Advice, How-To & Miscellaneous",1,3
9780593734650,"The Book Of Alchemy","Suleika Jaouad",,344,2025,"Random House",https://covers.openlibrary.org/b/isbn/9780593734650-L.jpg,9780593734650.jpg,,,,,,,,,,,,,,,,1,"Advice, How-To & Miscellaneous",6,6
9780593193822,"Practicing The Way","John Mark Comer",,,2023,WaterBrook,https://covers.openlibrary.org/b/id/15104145-L.jpg,9780593193822.jpg,,,,,,,,,,,,,,,,1,"Advice, How-To & Miscellaneous",26,8
9781668065969,"The Courage To Be Disliked","Ichiro Kishimi and Fumitake Koga",,,2024,Atria,https://covers.openlibrary.org/b/isbn/9781668065969-L.jpg,9781668065969.jpg,,,,,,,,,,,,,,,,1,"Advice, How-To & Miscellaneous",5,9
9781546126089,Snoop,"Gordon Korman","Confined and bored at home after a skiing accident, Carter hacks into his town’s police cameras. (Ages 9 to 12)",200,2025,Scholastic,https://covers.openlibrary.org/b/id/15101965-L.jpg,9781546126089.jpg,,,,middle_grade,moderate,"mysterious, adventurous, tense",0.9,3,7,2,3,whodunit,conversational,small_town,0.8,1,"Children’s Middle Grade Hardcover",9,7
9781338849912,"Blood In The Water","Tiffany D. Jackson","Kaylani McKinnon investigates a mysterious death on Martha’s Vineyard. (Ages 9 to 12)",216,2013,Scholastic,https://covers.openlibrary.org/b/isbn/9781338849912-L.jpg,9781338849912.jpg,,,,middle_grade,moderate,"mysterious, suspenseful, tense",1,6,7,3,6,whodunit,conversational,small_town,0.9,1,"Children’s Middle Grade Hardcover",9,8
9781338245752,"Ground Zero","Alan Gratz","Parallel storylines of Brandon and Reshmina take place on Sept. 11th, in 2001 and 2019. (Ages 9 to 12)",336,2021,Scholastic,https://covers.openlibrary.org/b/id/10584296-L.jpg,9781338245752.jpg,,,,middle_grade,moderate,"tense, thought_provoking, inspirational",1,6.5,8,3,7,coming_of_age,cinematic,urban,0.9,1,"Children’s Middle Grade Hardcover",65,9
9781984830296,"The Misfits: A Royal Conundrum","Lisa Yee","Olive is sent to Reforming Arts School and teams up with a group of crime-fighting outcasts. (Ages 8 to 12)",,2024,"Random House",https://covers.openlibrary.org/b/id/14555629-L.jpg,9781984830296.jpg,,,,middle_grade,moderate,"adventurous, mysterious, humorous",1,2,7,2,3,found_family,conversational,academic,0.8,1,"Children’s Middle Grade Hardcover",27,10
9780063444010,"The Smart Cookie","Jory John","Cookie builds up her self-confidence. (Ages 4 to 8)",,2021,Harper,https://covers.openlibrary.org/b/isbn/9780063157484-L.jpg,9780063444010.jpg,,,,children,light,"inspirational, humorous",0.9,1,5,1,3,coming_of_age,conversational,contemporary,0.8,1,"Children’s Picture Books",31,1
9781368046459,"The Pigeon Has To Go To School!","Mo Willems","Pigeon deals with the anxieties of going to school for the first time. (Ages 3 to 5)",40,"Jul 02, 2019",Hyperion,https://covers.openlibrary.org/b/id/8742950-L.jpg,9781368046459.jpg,,,,children,light,"humorous, tense, inspirational",0.9,1,6,1,3,coming_of_age,dialogue_heavy,contemporary,0.9,1,"Children’s Picture Books",67,5
9780316587747,"Dream By The Shadows","Logan Karlie","A dreaming plague is spreading throughout the kingdom of Noctis. (Ages 14 to 18)",368,2025,"Christy Ottaviano",https://covers.openlibrary.org/b/isbn/9780316587747-L.jpg,9780316587747.jpg,,,,young_adult,dark,"mysterious, tense",0.9,7.5,7,4.5,7,heros_journey,cinematic,medieval,0.7,1,"Young Adult Hardcover",1,2
9781250334664,"The Executioners Three","Susan Dennard","Freddie Gellar investigates a string of murders in her neighborhood's forest. (Ages 13 to 18)",298,2025,"Tor Teen",https://covers.openlibrary.org/b/id/15111951-L.jpg,9781250334664.jpg,,,,young_adult,moderate,"mysterious, suspenseful",0.9,6.5,7,3.5,7,whodunit,conversational,contemporary,0.8,1,"Young Adult Hardcover",1,8
9781668057551,"The End Of The World As We Know It","Christopher Golden and Brian Keene","A short story anthology based on Stephen King’s 1978 novel “The Stand.”",798,2025,Gallery,https://covers.openlibrary.org/b/id/15115723-L.jpg,9781668057551.jpg,Fiction,"The Stand",,adult,intense,"tense, suspenseful, thought_provoking",0.9,9,7,4,8,ensemble,conversational,post_apocalyptic,0.9,1,"Combined Print & E-Book Fiction",1,3
9781728292151,"Love Arranged","Lauren Asher","The third book in the Lakefront Billionaires series. Lily and Lorenzo’s fake relationship comes with baggage.",,2025,Bloom,https://covers.openlibrary.org/b/id/15111948-L.jpg,9781728292151.jpg,Fiction,"Lakefront Billionaires",3,adult,moderate,"romantic, humorous, tense",0.9,3,6,2,8,other,conversational,contemporary,0.8,1,"Combined Print & E-Book Fiction",1,4
9780593956229,"People We Meet On Vacation","Emily Henry","Opposites Poppy and Alex meet to vacation together one more time in hopes of saving their relationship.",480,2021,Berkley,https://covers.openlibrary.org/b/isbn/9780241992234-L.jpg,9780593956229.jpg,Fiction,,,adult,moderate,"romantic, humorous, adventurous",0.9,3,6,3,8,enemies_to_lovers,conversational,contemporary,0.8,1,"Combined Print & E-Book Fiction",38,9
9781250342034,"Hemlock & Silver","T. Kingfisher","In this reimagining of “Snow White,” a healer is summoned by a king to use her unconventional methods to save his daughter.",366,2025,Tor,https://covers.openlibrary.org/b/id/15115689-L.jpg,9781250342034.jpg,Fiction,,,adult,moderate,"mysterious, tense, thought_provoking",0.9,6.5,5.5,5,5.5,fish_out_of_water,conversational,medieval,0.8,1,"Combined Print & E-Book Fiction",1,15
9780593655092,"The Fort Bragg Cartel","Seth Harp","An Iraq war veteran and investigative reporter delves into unsolved murders connected to drug trafficking at the Special Operations base.",368,2025,Viking,https://covers.openlibrary.org/b/isbn/9780593655085-L.jpg,9780593655092.jpg,Fiction,,,adult,intense,"mysterious, suspenseful, tense",0.9,9,8,6,8,whodunit,journalistic,contemporary,0.85,1,"Combined Print & E-Book Nonfiction",2,8
9780593641552,"The Dragon Wakes With Thunder","K.X. Song","The second book in the Dragon Spirit duology. The sea dragon Qinglong comes to collect what he thinks he is owed by the woman warrior Hai Meilin.",448,2025,Ace,https://covers.openlibrary.org/b/isbn/9780593641552-L.jpg,9780593641552.jpg,Fiction,"Dragon Spirit duology",2,adult,moderate,"adventurous, tense",0.85,6,7,5,7,enemies_to_lovers,,other,0.75,1,"Hardcover Fiction",1,7
9781250320520,"Bury Our Bones In The Midnight Soil","V.E. Schwab","Stories set in Santo Domingo de la Calzada in 1532, London in 1827 and Boston in 2019 explore hunger, love and rage.",544,2025,Tor,https://covers.openlibrary.org/b/id/15093833-L.jpg,9781250320520.jpg,Fiction,,,adult,dark,"thought_provoking, melancholic, tense",0.9,8,6,7,8,ensemble,lyrical,other,0.8,1,"Hardcover Fiction",6,13
9780593498798,"For Richer For Poorer","Danielle Steel","As pressures mount, Eugenia Ward, a fashion designer and mother of five adult children, meets a successful real estate developer.",270,2025,Delacorte,https://covers.openlibrary.org/b/id/15113561-L.jpg,9780593498798.jpg,Fiction,,,adult,moderate,"romantic, thought_provoking",0.9,3,6,2,8,other,conversational,contemporary,0.8,1,"Hardcover Fiction",2,14
9780593977057,"Not Quite Dead Yet","Holly Jackson","With only a week left to live after a violent attack on Halloween, Jet Mason is determined to solve her own murder.",400,2025,Bantam,https://covers.openlibrary.org/b/id/15106225-L.jpg,9780593977057.jpg,Fiction,,,young_adult,intense,"mysterious, suspenseful, tense",0.9,7.5,9,3.5,8,whodunit,conversational,contemporary,0.8,1,"Hardcover Fiction",5,15
9781668201336,Cudi,"Scott ""Kid Cudi"" Mescudi","The Grammy Award–winning artist describes obstacles he encountered during his career.",288,2025,"Simon & Schuster",https://covers.openlibrary.org/b/isbn/9781668201336-L.jpg,9781668201336.jpg,Fiction,,,adult,moderate,"inspirational, thought_provoking, melancholic",0.9,6,4,4,7,heros_journey,conversational,contemporary,0.8,1,"Hardcover Nonfiction",2,9
9780374178710,Baldwin,"Nicholas Boggs","A biography examining the personal relationships that impacted the life and work of the writer and civil rights activist.",688,2025,"Farrar, Straus & Giroux",https://covers.openlibrary.org/b/isbn/9780374178710-L.jpg,9780374178710.jpg,Fiction,,,adult,moderate,"thought_provoking, inspirational",0.9,6,4,7,7,other,journalistic,urban,0.8,1,"Hardcover Nonfiction",1,11
9780063437180,"The Last Line Of Defense","Eric Schmitt","The Republican senator from Missouri puts forward his strategies for defeating liberals in court.",272,2025,Broadside,https://covers.openlibrary.org/b/isbn/9780063437180-L.jpg,9780063437180.jpg,Fiction,,,adult,moderate,"thought_provoking, tense",0.9,6,4,7,2,other,academic,contemporary,0.8,1,"Hardcover Nonfiction",1,14
