isbn,isbn13,title,author,description,page_count,published_date,publisher,cover_url,cover_filename,series_name,volume_number,series_position,genres,rating,language,audience,intensity,moods,classification_confidence
0439023483,9780439023481,"The Hunger Games","Suzanne Collins","WINNING MEANS FAME AND FORTUNE.LOSING MEANS CERTAIN DEATH.THE HUNGER GAMES HAVE BEGUN. . . .In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and once girl between the ages of twelve and eighteen to participate in the annual Hunger Games, a fight to the death on live TV.Sixteen-year-old Katniss Everdeen regards it as a death sentence when she steps forward to take her sister's place in the Games. But Katniss has been close to dead before—and survival, for her, is second nature. Without really meaning to, she becomes a contender. But if she is to win, she will have to start making choices that weight survival against humanity and life against love.",374,2008,"Scholastic Press",https://covers.openlibrary.org/b/isbn/9781407135397-L.jpg,9780439023481.jpg,"The Hunger Games",1,,"Young Adult, Fiction, Dystopia, Fantasy, Science Fiction",4.33,english,,,,
9780545582971,9780545582971,"Harry Potter and the Order of the Phoenix","J.K. Rowling, Mary GrandPré","There is a door at the end of a silent corridor. And it’s haunting Harry Pottter’s dreams. Why else would he be waking in the middle of the night, screaming in terror?Harry has a lot on his mind for this, his fifth year at Hogwarts: a Defense Against the Dark Arts teacher with a personality like poisoned honey; a big surprise on the Gryffindor Quidditch team; and the looming terror of the Ordinary Wizarding Level exams. But all these things pale next to the growing threat of He-Who-Must-Not-Be-Named - a threat that neither the magical government nor the authorities at Hogwarts can stop.As the grasp of darkness tightens, Harry must discover the true depth and strength of his friends, the importance of boundless loyalty, and the shocking price of unbearable sacrifice.His fate depends on them all.",870,2003,"Scholastic Inc.",https://covers.openlibrary.org/b/isbn/9780545582971-L.jpg,9780545582971.jpg,"Harry Potter",5,,"Fantasy, Young Adult, Fiction, Magic, Childrens",4.5,english,,,,
006017322X,9780060173227,"To Kill a Mockingbird","Harper Lee","The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it, To Kill A Mockingbird became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.Compassionate, dramatic, and deeply moving, To Kill A Mockingbird takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature.",324,1960-01-01,HarperCollinsPublishers,https://covers.openlibrary.org/b/isbn/9781473556812-L.jpg,9780060173227.jpg,"To Kill a Mockingbird",,,"Classics, Fiction, Historical Fiction, School, Literature",4.28,english,,,,
9780007874699,9780007874699,"Pride and Prejudice","Jane Austen, Anna Quindlen","Jane Austen called this brilliant work ""her own darling child"" and its vivacious heroine, Elizabeth Bennet, ""as delightful a creature as ever appeared in print."" The romantic clash between the opinionated Elizabeth and her proud beau, Mr. Darcy, is a splendid performance of civilized sparring. And Jane Austen's radiant wit sparkles as her characters dance a delicate quadrille of flirtation and intrigue, making this book the most superb comedy of manners of Regency England.",279,1813,"HarperCollins Children's Books",https://covers.openlibrary.org/b/isbn/9780007874699-L.jpg,9780007874699.jpg,,,,"Classics, Fiction, Romance, Historical Fiction, Literature",4.26,english,,,,
0316160172,9780316160179,Twilight,"Stephenie Meyer","About three things I was absolutely positive.

First, Edward was a vampire.

Second, there was a part of him—and I didn't know how dominant that part might be—that thirsted for my blood.

And third, I was unconditionally and irrevocably in love with him.

Deeply seductive and extraordinarily suspenseful, Twilight is a love story with bite.",501,2005-01-01,"Megan Tingley Books/Little, Brown and Company",https://covers.openlibrary.org/b/isbn/9780316160179-L.jpg,9780316160179.jpg,"The Twilight Saga",1,,"Young Adult, Fantasy, Romance, Vampires, Fiction",3.6,english,,,,
0316184144,9780316184144,"The Complete Poems of Emily Dickinson","Emily Dickinson, Thomas H. Johnson","THE ONLY ONE-VOLUME EDITION CONTAINING ALL 1,775 OF EMILY DICKINSON’S POEMSOnly eleven of Emily Dickinson’s poems were published prior to her death in 1886; the startling originality of her work doomed it to obscurity in her lifetime. Early posthumously published collections-some of them featuring liberally “edited” versions of the poems-did not fully and accurately represent Dickinson’s bold experiments in prosody, her tragic vision, and the range of her intellectual and emotional explorations. Not until the 1955 publication of The Complete Poems of Emily Dickinson, a three-volume critical edition compiled by Thomas H. Johnson, were readers able for the first time to assess, understand, and appreciate the whole of Dickinson’s extraordinary poetic genius.This book, a distillation of the three-volume Complete Poems, brings together the original texts of all 1,775 poems that Emily Dickinson wrote.",716,1890,"Little, Brown and Company",https://covers.openlibrary.org/b/isbn/0316184136-L.jpg,9780316184144.jpg,,,,"Poetry, Classics, Fiction, Literature, 19th Century",4.23,english,,,,
9780385739153,9780385739153,Torment,"Lauren Kate (Goodreads Author)","Hell on earth.That’s what it’s like for Luce to be apart from her fallen angel boyfriend, Daniel. It took them an eternity to find one another, but now he has told her he must go away. Just long enough to hunt down the Outcasts—immortals who want to kill Luce. Daniel hides Luce at Shoreline, a school on the rocky California coast with unusually gifted students: Nephilim, the offspring of fallen angels and humans.At Shoreline, Luce learns what the Shadows are, and how she can use them as windows to her previous lives. Yet the more Luce learns, the more she suspects that Daniel hasn’t told her everything. He’s hiding something—something dangerous. What if Daniel’s version of the past isn’t actually true? What if Luce is really meant to be with someone else?",452,2010,"Random House",https://covers.openlibrary.org/b/isbn/9780385739153-L.jpg,9780385739153.jpg,Fallen,2,,"Young Adult, Fantasy, Angels, Romance, Paranormal",3.87,english,,,,
9781595143174,9781595143174,Bloodlines,"Richelle Mead (Goodreads Author)","I wasn't free of my past, not yet.Sydney's blood is special. That's because she's an alchemist - one of a group of humans who dabble in magic and serve to bridge the worlds of humans and vampires. They protect vampire secrets - and human lives. But the last encounter Sydney had with vampires got her in deep trouble with the other alchemists. And now with her allegiances in question, her future is on the line.When Sydney is torn from her bed in the middle of the night, at first she thinks she's still being punished for her complicated alliance with dhampir Rose Hathaway. But what unfolds is far worse. Jill Dragomir - the sister of Moroi Queen Lissa Dragomir - is in mortal danger, and the Moroi must send her into hiding. To avoid a civil war, Sydney is called upon to act as Jill's guardian and protector, posing as her roommate in the unlikeliest of places: a human boarding school in Palm Springs, California. The last thing Sydney wants is to be accused of sympathizing with vampires. And now she has to live with one.The Moroi court believe Jill and Sydney will be safe at Amberwood Prep, but threats, distractions, and forbidden romance lurk both outside - and within - the school grounds. Now that they're in hiding, the drama is only just beginning.",421,2011,Razorbill,https://covers.openlibrary.org/b/isbn/9781595143174-L.jpg,9781595143174.jpg,Bloodlines,1,,"Young Adult, Vampires, Fantasy, Paranormal, Romance",4.2,english,,,,
,,"Mistress Suffragette","Diana Forbes (Goodreads Author)","A young woman without prospects at a ball in Gilded Age Newport, Rhode Island is a target for a certain kind of “suitor.”
At the Memorial Day Ball during the Panic of 1893, impoverished but feisty Penelope Stanton draws the unwanted advances of a villainous millionaire banker who preys on distressed women—the incorrigible Edgar Daggers. Over a series of encounters, he promises Penelope the financial security she craves, but at what cost? Skilled in the art of flirtation, Edgar is not without his charms, and Penelope is attracted to him against her better judgment. Initially, as Penelope grows into her own in the burgeoning early Women’s Suffrage Movement, Edgar exerts pressure, promising to use his power and access to help her advance. But can he be trusted, or are his words part of an elaborate mind game played between him and his wife? During a glittering age where a woman’s reputation is her most valuable possession, Penelope must decide whether to compromise her principles for love, lust, and the allure of an easier life.",333,2017,"Penmore Press LLC",,,,,,"Fiction, Novels, Historical Fiction, Drama, New Adult",4.34,,,,,
9781409076766,9781409076766,"Vanity Fair","William Makepeace Thackeray, John Carey","A novel that chronicles the lives of two women who could not be more different: Becky Sharp, an orphan whose only resources are her vast ambitions, her native wit, and her loose morals; and her schoolmate Amelia Sedley, a typically naive Victorian heroine, the pampered daughter of a wealthy family.",867,1800,"Random House Publishing Group",https://covers.openlibrary.org/b/isbn/9781409076766-L.jpg,9781409076766.jpg,,,,"Classics, Fiction, Historical Fiction, Literature, 19th Century",3.79,english,,,,
0312857055,9780312857059,"Wizard's First Rule","Terry Goodkind","In the aftermath of the brutal murder of his father, a mysterious woman, Kahlan Amnell, appears in Richard Cypher's forest sanctuary seeking help . . . and more. His world, his very beliefs, are shattered when ancient debts come due with thundering violence. In a dark age it takes courage to live, and more than mere courage to challenge those who hold dominion, Richard and Kahlan must take up that challenge or become the next victims. Beyond awaits a bewitching land where even the best of their hearts could betray them. Yet, Richard fears nothing so much as what secrets his sword might reveal about his own soul. Falling in love would destroy them—for reasons Richard can't imagine and Kahlan dare not say.In their darkest hour, hunted relentlessly, tormented by treachery and loss, Kahlan calls upon Richard to reach beyond his sword—to invoke within himself something more noble. Neither knows that the rules of battle have just changed . . . or that their time has run out.This is the beginning. One book. One Rule. Witness the birth of a legend.",836,1994,TOR,https://covers.openlibrary.org/b/isbn/9780812548051-L.jpg,9780312857059.jpg,"Sword of Truth",1,,"Fantasy, Fiction, Epic Fantasy, High Fantasy, Science Fiction Fantasy",4.12,english,,,,
9780141907727,9780141907727,"North and South","Elizabeth Gaskell","When her father leaves the Church in a crisis of conscience, Margaret Hale is uprooted from her comfortable home in Hampshire to move with her family to the north of England. Initially repulsed by the ugliness of her new surroundings in the industrial town of Milton, Margaret becomes aware of the poverty and suffering of the local mill workers and develops a passionate sense of social justice. This is intensified by her tempestuous relationship with the mill-owner and self-made man, John Thornton, as their fierce opposition over his treatment of his employees masks a deeper attraction.In North and South, Elizabeth Gaskell skillfully fuses individual feeling with social concern, and in Margaret Hale creates one of the most original heroines of Victorian literature.",521,1855,"Penguin Group UK",https://covers.openlibrary.org/b/isbn/9780141907727-L.jpg,9780141907727.jpg,,,,"Classics, Fiction, Romance, Historical Fiction, Historical",4.13,english,,,,
9780141885995,9780141885995,"Brideshead Revisited","Evelyn Waugh","The most nostalgic and reflective of Evelyn Waugh's novels, Brideshead Revisited looks back to the golden age before the Second World War. It tells the story of Charles Ryder's infatuation with the Marchmains and the rapidly-disappearing world of privilege they inhabit. Enchanted first by Sebastian at Oxford, then by his doomed Catholic family, in particular his remote sister, Julia, Charles comes finally to recognize only his spiritual and social distance from them.",351,1945,"Penguin Books, Limited",https://covers.openlibrary.org/b/isbn/9780141885995-L.jpg,9780141885995.jpg,,,,"Classics, Fiction, Historical Fiction, Literature, British Literature",4,english,,,,
1784161934,9781784161934,"The God Delusion","Richard Dawkins (Goodreads Author)","A preeminent scientist - and the world's most prominent atheist - asserts the irrationality of belief in God, and the grievous harm religion has inflicted on society, from the Crusades to 9/11.With rigor and wit, Dawkins examines God in all his forms, from the sex-obsessed tyrant of the Old Testament, to the more benign (but still illogical) Celestial Watchmaker favored by some Enlightenment thinkers. He eviscerates the major arguments for religion, and demonstrates the supreme improbability of a supreme being. He shows how religion fuels war, foments bigotry, and abuses children, buttressing his points with historical and contemporary evidence.The God Delusion makes a compelling case that belief in God is not just wrong, but potentially deadly. It also offers exhilarating insight into the advantages of atheism to the individual and society, not the least of which is a clearer, truer appreciation of the universe's wonders than any faith could ever muster.",374,2001,"Penguin Random House UK",https://covers.openlibrary.org/b/isbn/9781784161934-L.jpg,9781784161934.jpg,,,,"Nonfiction, Religion, Science, Philosophy, Atheism",3.9,english,,,,
0385182449,9780385182447,"Pet Sematary","Stephen King (Goodreads Author)","'This is an alternate Cover Edition for ASIN: B00K3NEE56. When the Creeds move into a beautiful old house in rural Maine, it all seems too good to be true: physician father, beautiful wife, charming little daughter, adorable infant son-and now an idyllic home. As a family, they've got it all...right down to the friendly car. But the nearby woods hide a blood-chilling truth-more terrifying than death itself-and hideously more powerful. The Creeds are going to learn that sometimes dead is better.",580,1983,"Doubleday & Company",https://covers.openlibrary.org/b/isbn/9788466348089-L.jpg,9780385182447.jpg,,,,"Horror, Fiction, Thriller, Fantasy, Paranormal",4,english,,,,
